idx,Category,Freq,Term,Total,loglift,logprob
19803,Topic5,0.9394879,loti,4.7902036,0.486299991607666,-9.707300186157227
14012,Topic5,0.7931205,dotare,4.0615063,0.4819999933242798,-9.87660026550293
11332,Topic5,0.5799095,lonie,2.9761186,0.4797999858856201,-10.18970012664795
2096,Topic5,11.169423,diritto,57.35236,0.47929999232292175,-7.2316999435424805
14215,Topic5,0.44435877,sussurrare,2.2823832,0.4790000021457672,-10.456000328063965
18834,Topic5,0.3037974,mackinley,1.5621245,0.4778999984264374,-10.836199760437012
21080,Topic5,0.43144068,sociologico,2.2205644,0.47690001130104065,-10.48550033569336
5874,Topic5,0.9125653,chiave,4.7109785,0.4738999903202057,-9.736300468444824
516,Topic5,5.8622174,mantenere,30.29902,0.47269999980926514,-7.876299858093262
22400,Topic5,0.28198183,incremento,1.4583113,0.47209998965263367,-10.910799980163574
20088,Topic5,0.61655813,perentorio,3.190232,0.4715999960899353,-10.128399848937988
13945,Topic5,0.7548489,antipatia,3.926568,0.46630001068115234,-9.92609977722168
2674,Topic5,3.321897,gentile,17.55211,0.4507000148296356,-8.444299697875977
4075,Topic5,1.0663342,disegno,5.5895014,0.4586000144481659,-9.580599784851074
506,Topic5,17.176193,macchina,96.182396,0.39259999990463257,-6.801300048828125
6041,Topic5,2.880454,istituto,15.635905,0.4237000048160553,-8.586899757385254
859,Topic5,8.995295,sociale,51.5426,0.36959999799728394,-7.4481000900268555
3804,Topic5,4.454979,soccorso,24.85061,0.39640000462532043,-8.150799751281738
4956,Topic5,2.7601235,seno,15.1108,0.41519999504089355,-8.629599571228027
3272,Topic5,1.3008332,ammontare,6.9058743,0.44589999318122864,-9.381799697875977
225,Topic5,20.24363,correre,120.96365,0.3276999890804291,-6.63700008392334
1930,Topic5,10.588234,voto,62.26466,0.34369999170303345,-7.285099983215332
4156,Topic5,1.876474,guarnigione,10.118265,0.430400013923645,-9.01550006866455
156,Topic5,6.9117637,cerimonia,40.102345,0.3571000099182129,-7.711599826812744
1480,Topic5,19.285885,lottare,119.56711,0.290800005197525,-6.685500144958496
577,Topic5,1.8246619,naturalmente,9.839103,0.4302999973297119,-9.043499946594238
1537,Topic5,11.49546,molto,69.9986,0.30880001187324524,-7.202899932861328
2325,Topic5,18.381027,partire,115.41141,0.27810001373291016,-6.733500003814697
265,Topic5,10.170156,dichiarare,61.907925,0.3091000020503998,-7.325399875640869
893,Topic5,7.8718123,standard,47.070667,0.32690000534057617,-7.581600189208984
326,Topic5,13.339019,estero,83.448006,0.2818000018596649,-7.054200172424316
1607,Topic5,18.442673,parlare,118.36875,0.25619998574256897,-6.730199813842773
647,Topic5,23.176971,patrio,153.7871,0.22290000319480896,-6.501699924468994
3709,Topic5,5.5599575,prete,32.671387,0.34439998865127563,-7.929299831390381
2304,Topic5,9.357533,onore,57.66024,0.2969000041484833,-7.408699989318848
475,Topic5,19.27084,largest,126.464745,0.23389999568462372,-6.686299800872803
1547,Topic5,14.30894,navigazione,91.97958,0.25459998846054077,-6.984000205993652
210,Topic5,8.823039,continuo,54.467365,0.29510000348091125,-7.46750020980835
62,Topic5,6.8580613,aprile,41.277756,0.3203999996185303,-7.719399929046631
278,Topic5,59.71011,dispaccio,457.2385,0.07959999889135361,-5.555300235748291
912,Topic5,10.474426,tanto,66.136116,0.27250000834465027,-7.295899868011475
229,Topic5,21.801647,costare,151.4575,0.1770000010728836,-6.562900066375732
403,Topic5,21.159489,grande,147.71931,0.1720999926328659,-6.592800140380859
458,Topic5,113.71724,italiano,1001.09753,-0.05979999899864197,-4.911099910736084
2050,Topic5,13.332462,collare,87.65244,0.2320999950170517,-7.054599761962891
687,Topic5,45.658264,potere,358.15668,0.05550000071525574,-5.823699951171875
1365,Topic5,14.575311,genova,97.661194,0.21310000121593475,-6.9654998779296875
3345,Topic5,33.81714,cardinale,260.26074,0.07460000365972519,-6.123899936676025
3998,Topic5,14.091494,camera,94.1639,0.21580000221729279,-6.999300003051758
608,Topic5,27.922659,nuovo,210.52539,0.09510000050067902,-6.315400123596191
238,Topic5,40.86736,daily,330.09018,0.02630000002682209,-5.934500217437744
2502,Topic5,23.959942,volere,179.13466,0.10360000282526016,-6.468500137329102
50,Topic5,24.49341,americano,184.37169,0.09679999947547913,-6.446400165557861
1604,Topic5,28.848454,papa,231.33762,0.03350000083446503,-6.282800197601318
918,Topic5,43.60159,telegrafico,393.53424,-0.08479999750852585,-5.869800090789795
995,Topic5,38.789677,venire,341.4494,-0.059700001031160355,-5.986700057983398
802,Topic5,47.984123,roma,450.56665,-0.12430000305175781,-5.77400016784668
456,Topic5,50.25509,italia,504.5979,-0.19130000472068787,-5.727700233459473
240,Topic5,23.608526,dare,193.25699,0.012900000438094139,-6.4832000732421875
602,Topic5,19.136919,notizia,144.99274,0.09019999951124191,-6.69320011138916
648,Topic5,16.399673,patrizio,116.66154,0.15330000221729279,-6.847599983215332
401,Topic5,24.543375,gran,209.87292,-0.030799999833106995,-6.444399833679199
384,Topic5,31.521969,giornale,311.21957,-0.1745000034570694,-6.194200038909912
457,Topic5,18.875566,italian,145.06456,0.07599999755620956,-6.706999778747559
531,Topic5,24.276093,mentire,223.85564,-0.10620000213384628,-6.455399990081787
45,Topic5,18.756157,altro,145.94334,0.06360000371932983,-6.7133002281188965
594,Topic5,21.697289,nome,187.96289,-0.043800000101327896,-6.567699909210205
951,Topic5,20.994715,trovare,178.41124,-0.02449999935925007,-6.600599765777588
1023,Topic5,21.967543,york,214.2074,-0.16210000216960907,-6.555300235748291
295,Topic5,21.847876,dovere,219.12076,-0.19020000100135803,-6.560699939727783
564,Topic5,18.864359,morto,158.27715,-0.011800000444054604,-6.707600116729736
739,Topic5,19.056116,quotidiano,206.10512,-0.26570001244544983,-6.697500228881836
320,Topic6,0.48386002,espri,5.711514,0.7663000226020813,-9.251399993896484
6383,Topic6,0.2816761,boia,3.6255453,0.6797999739646912,-9.792400360107422
8654,Topic6,0.3189143,giovanna,4.273039,0.6395999789237976,-9.66819953918457
6906,Topic6,0.73249793,pescatore,10.291304,0.592199981212616,-8.836700439453125
6830,Topic6,0.10480269,figulg,1.4744184,0.5907999873161316,-10.781100273132324
6941,Topic6,0.10537491,seaza,1.4946654,0.5825999975204468,-10.77560043334961
6378,Topic6,0.1540484,benemerenza,2.191527,0.5796999931335449,-10.395899772644043
9468,Topic6,0.6659605,credito,9.478695,0.579200029373169,-8.931900024414062
22512,Topic6,0.2621058,assoluzione,3.739331,0.5767999887466431,-9.864399909973145
10667,Topic6,0.20800483,irving,2.97547,0.5741999745368958,-10.095600128173828
22089,Topic6,0.20652033,chlnese,2.9614482,0.5716999769210815,-10.102800369262695
22610,Topic6,0.10424247,espressimi,1.5015461,0.5672000050544739,-10.786399841308594
25886,Topic6,0.15218297,unghorosl,2.192651,0.5669999718666077,-10.408100128173828
6746,Topic6,0.10172128,allat,1.4662263,0.5665000081062317,-10.81089973449707
6794,Topic6,0.10470805,concetu,1.512719,0.564300000667572,-10.781999588012695
19054,Topic6,0.10150827,noartuti,1.474976,0.5584999918937683,-10.812999725341797
6988,Topic6,0.10265769,vivacemente,1.500633,0.5525000095367432,-10.8016996383667
6940,Topic6,0.103137404,scatori,1.5130411,0.5489000082015991,-10.797100067138672
18953,Topic6,0.09959165,assunzio,1.4633412,0.5473999977111816,-10.832099914550781
6874,Topic6,0.10299806,messaci,1.515069,0.5462999939918518,-10.798399925231934
12607,Topic6,0.10273386,amlct,1.5115107,0.5460000038146973,-10.800999641418457
6570,Topic6,0.3969098,mlles,5.853827,0.5436000227928162,-9.449399948120117
1217,Topic6,0.53406537,contemporaneamente,7.8925476,0.5415999889373779,-9.152600288391113
19028,Topic6,0.14886801,losl,2.2000387,0.5415999889373779,-10.430100440979004
18957,Topic6,0.24647555,benicia,3.643311,0.5414000153541565,-9.92590045928955
6337,Topic6,0.14718743,althotel,2.1792824,0.5396999716758728,-10.441399574279785
3636,Topic6,0.15015617,mugnai,2.2357934,0.5340999960899353,-10.421500205993652
8713,Topic6,0.14827372,lega,2.2082152,0.5339000225067139,-10.434100151062012
6900,Topic6,0.100488916,pallidissimo,1.4969356,0.5335999727249146,-10.823100090026855
19116,Topic6,0.09779735,tungsteno,1.4573756,0.53329998254776,-10.850299835205078
2856,Topic6,2.0026257,rivisto,30.01508,0.5274999737739563,-7.830900192260742
875,Topic6,0.57671636,somalia,8.670738,0.524399995803833,-9.075799942016602
